ArraySize	FirstPivot_Time_us	RandomPivot_Time_us
5000	23580.4	329.04
7000	22075	298.7
9000	28502.8	317.272
11000	39518.6	398.167
13000	56494.7	459.049
15000	73499.1	544.393
17000	92972.8	621.646
19000	117061	698.158
21000	146826	804.715
23000	173014	863.112
25000	205797	965.278
27000	248181	1023.46
29000	281778	1081.87
31000	318537	1199.85
33000	357653	1240.69
35000	419839	1307.26
37000	453854	1395.23
39000	507767	1500.44
41000	557402	1592.24
43000	622221	1666.31
45000	697190	2438.13
47000	771256	1852.24
49000	812836	1912.77
51000	866948	1967.82
53000	935098	2145.49
55000	1.04201e+06	2218.48
57000	1.10427e+06	2235.43
59000	1.16596e+06	2355.34
61000	1.26598e+06	2483.91
63000	1.3309e+06	2463.26
65000	1.41813e+06	2622.82
67000	1.54145e+06	2756.86
69000	1.67778e+06	2756.23
71000	1.83429e+06	2921.63
73000	1.83483e+06	2975.94
75000	1.92556e+06	3078.93
77000	2.15116e+06	3219.9
79000	2.33416e+06	3229.42
81000	2.41978e+06	3302.32
83000	2.36961e+06	3540.58
85000	2.48435e+06	3640.08
87000	2.60618e+06	3670.22
89000	2.78673e+06	3643.98
91000	2.85067e+06	3899.23
93000	2.97189e+06	3936.98
95000	3.21932e+06	4057.51
97000	3.24671e+06	4078.44
99000	3.37008e+06	4175.42
101000	3.53383e+06	4413.92
103000	3.71245e+06	4359
105000	3.92667e+06	4404.78
107000	4.03884e+06	4556.16
109000	4.09063e+06	4588.24
111000	4.25022e+06	4792.93
113000	4.41301e+06	4870.56
115000	4.5707e+06	4824.58
117000	4.72112e+06	4995.31
119000	5.12896e+06	5071.57
